Time,Flux
0.0,1.0599818360023128
1.0,1.0513687459685068
2.0,1.0554876787642231
3.0,1.0700085164728514
4.0,1.06402829943177
5.0,1.0948215938175094
6.0,1.0805371730850244
7.0,1.0748485722838108
8.0,1.0902984145359782
9.0,1.122221228409399
10.0,1.0935496765723869
11.0,1.102215248139251
12.0,1.1291527923834448
13.0,1.1312461173661752
14.0,1.1308558774452457
15.0,1.135143123612246
16.0,1.1484313702092486
17.0,1.1603687247196839
18.0,1.1760228731312798
19.0,1.1363444310028634
20.0,1.1814192911092367
21.0,1.1937804059441617
22.0,1.1921380164889985
23.0,1.1932791872506197
24.0,1.1966944546674438
25.0,1.2261913208276416
26.0,1.2226143002734513
27.0,1.2180816461052446
28.0,1.238308979081611
29.0,1.2411696812897517
30.0,1.2780527309453558
31.0,1.234473791488307
32.0,1.2874894072753018
33.0,1.2228807694808126
34.0,1.2549615245752546
35.0,1.2539393149439844
36.0,1.2655386226487015
37.0,1.2927933352408836
38.0,1.3181192563074022
39.0,1.304244087004606
40.0,1.2818705833189354
41.0,1.2688735704641292
42.0,1.2192022634102768
43.0,1.1774377885465734
44.0,1.15584991571939
45.0,1.058691491598757
46.0,1.059862260202316
47.0,0.9920348387076177
48.0,1.0016907852555372
49.0,0.9921312815981927
50.0,1.0092366771287313
51.0,1.0158864431542025
52.0,1.0090124518031234
53.0,1.0464160759230852
54.0,1.0481763027887012
55.0,1.063962727238813
56.0,1.0678821499759388
57.0,1.0732626406486843
58.0,1.0754073354113636
59.0,1.0837641310651012
60.0,1.0913652732679042
61.0,1.049583065308753
62.0,1.1219381711532
63.0,1.1209299659008074
64.0,1.0909279077930862
65.0,1.0969128176645286
66.0,1.1392219702052921
67.0,1.1252990385576362
68.0,1.118791597611495
69.0,1.1325062327117
70.0,1.1230083352557092
71.0,1.1693182573310004
72.0,1.1695333540577084
73.0,1.1686836320370622
74.0,1.148794875807139
75.0,1.1659532998069064
76.0,1.1816942016885843
77.0,1.2086391541164117
78.0,1.1920441711012153
79.0,1.1845292078703
80.0,1.2080003048030774
81.0,1.205579193862918
82.0,1.223630774128112
83.0,1.2304342104622465
84.0,1.2152856625478607
85.0,1.2418895198180198
86.0,1.223838613034776
87.0,1.2442253690967005
88.0,1.266917877365212
89.0,1.2645746657860621
90.0,1.2680470757247766
91.0,1.2733736062323469
92.0,1.2705415756567007
93.0,1.290273195725574
94.0,1.277049137446306
95.0,1.2985113639934978
96.0,1.282038379846545
97.0,1.2535841458833776
98.0,1.1835017125483236
99.0,1.1240557311612156
100.0,1.1117265759512733
101.0,1.0657640668047144
102.0,1.042080437349918
103.0,0.9874827120690295
104.0,1.0012306560083388
105.0,1.0247437781468354
106.0,1.0086999684577687
107.0,1.0100096820606679
108.0,1.0254299713728747
109.0,1.0466671389345752
110.0,1.0272526616610775
111.0,1.0618653292944014
112.0,1.060264556562884
113.0,1.083757259221457
114.0,1.0762302447173087
115.0,1.1073090627834243
116.0,1.0703971225015938
117.0,1.0919104298131206
118.0,1.0725645711103586
119.0,1.1108437035890084
