Time,Flux
0.0,1.177944171184929
1.0,1.2073903793861975
2.0,1.2118017253048363
3.0,1.2184412478894144
4.0,1.2149085956453083
5.0,1.2396858844241907
6.0,1.206994106352776
7.0,1.2363070947813002
8.0,1.276069589309653
9.0,1.2402946264728643
10.0,1.2522746849940631
11.0,1.2617410626178074
12.0,1.262467132294599
13.0,1.2762590756228722
14.0,1.3072712717379704
15.0,1.3075762775616353
16.0,1.2827779546470264
17.0,1.2941081352955697
18.0,1.31209322328523
19.0,1.3124070527322116
20.0,1.2961770295033113
21.0,1.2641230359065765
22.0,1.2283203293281528
23.0,1.1757738189044487
24.0,1.1300234996531717
25.0,1.0873764051861514
26.0,1.0452464998970077
27.0,0.9871862617413181
28.0,1.0166704346934388
29.0,1.014850461275946
30.0,1.017012552249703
31.0,1.0240312527386404
32.0,1.0250689791497796
33.0,1.047017888910326
34.0,1.0650760736670832
35.0,1.0346832461718027
36.0,1.0222697118388737
37.0,1.0770718782255762
38.0,1.0642501236848136
39.0,1.0853100702457505
40.0,1.1026580150791074
41.0,1.084144666438352
42.0,1.1121140521621444
43.0,1.1102479132259564
44.0,1.108821792929893
45.0,1.137059202770204
46.0,1.127244777580518
47.0,1.156518761948251
48.0,1.1561305400501145
49.0,1.1194270438120852
50.0,1.144363618411638
51.0,1.1872036011108404
52.0,1.1842536168062427
53.0,1.139861247479874
54.0,1.1475692592071145
55.0,1.2055463383203775
56.0,1.2267448074687144
57.0,1.2038607184800938
58.0,1.2019505734994627
59.0,1.1997719701392107
60.0,1.2419577513017341
61.0,1.2419753418888144
62.0,1.229340429621557
63.0,1.259095457715138
64.0,1.241507225966113
65.0,1.260367050128858
66.0,1.271195476562884
67.0,1.2426571750032505
68.0,1.2854646165844923
69.0,1.293970077483951
70.0,1.2879105357720833
71.0,1.2904679477012246
72.0,1.307419052563961
73.0,1.308885483471583
74.0,1.3075705556722805
75.0,1.3250480581387138
76.0,1.310382615146337
77.0,1.2209988276415225
78.0,1.2032998774200636
79.0,1.1543559871443174
80.0,1.1037054022165393
81.0,1.0539832686877415
82.0,1.0123812684706779
83.0,0.9938962333525126
84.0,1.0106784876941999
85.0,1.0115720794959107
86.0,1.0326524585636196
87.0,1.052657346515101
88.0,1.0276965484489313
89.0,1.037622505205847
90.0,1.0330286622924982
91.0,1.08358165478223
92.0,1.0629480414853523
93.0,1.0724872665864524
94.0,1.098846142011648
95.0,1.0614557110411562
96.0,1.0627186148708248
97.0,1.1000487257053135
98.0,1.0834527728637426
99.0,1.1234502822899095
100.0,1.122916575009235
101.0,1.1011402805298558
102.0,1.1390912135555051
103.0,1.1498326080208725
104.0,1.1498479198580098
105.0,1.1411210950734354
106.0,1.1406542497246406
107.0,1.139101466810658
108.0,1.1852008080828598
109.0,1.1725703075572145
110.0,1.1934224986518374
111.0,1.1592981009926577
112.0,1.207618951172181
113.0,1.2118013643180197
114.0,1.2144302661913413
115.0,1.222625306909866
116.0,1.1973834636900293
117.0,1.249563680731343
118.0,1.2325110032753017
119.0,1.2749194546868947
