Time,Flux
0.0,1.01684700816122
1.0,1.0280937373480439
2.0,1.0364389767145306
3.0,1.0350536349125328
4.0,1.044604444590998
5.0,1.0380261570020222
6.0,1.0760282026005936
7.0,1.0564714963793005
8.0,1.0744875020854474
9.0,1.0837241815176515
10.0,1.0942945516400882
11.0,1.1076168150718417
12.0,1.1004819196849074
13.0,1.1187218953177955
14.0,1.1195527079869003
15.0,1.1372872090793267
16.0,1.1492466769094496
17.0,1.1517653650089457
18.0,1.1456681893921772
19.0,1.1746542932305362
20.0,1.1525098108276617
21.0,1.189382703856172
22.0,1.1899449342303918
23.0,1.1688113873185348
24.0,1.2102146070060533
25.0,1.1946400692054326
26.0,1.2121076804396576
27.0,1.2281871336494234
28.0,1.2086034822029408
29.0,1.2248957415184005
30.0,1.2317742946344514
31.0,1.24653420748864
32.0,1.2283436978099116
33.0,1.245175167142421
34.0,1.2496019936253286
35.0,1.265260730049991
36.0,1.2700593365796973
37.0,1.2745218266371066
38.0,1.2697514034045534
39.0,1.2877634686309885
40.0,1.3039514211462773
41.0,1.3315943799154175
42.0,1.306835319982111
43.0,1.312456190792151
44.0,1.3132392682794007
45.0,1.3334422096927125
46.0,1.3149760229697176
47.0,1.269213261116582
48.0,1.229572407087807
49.0,1.1689080125510485
50.0,1.1322878535033798
51.0,1.0736846409920504
52.0,1.0273469407678109
53.0,0.9972813985020426
54.0,1.0078297737483581
55.0,0.9943723882728983
56.0,1.0026493252484345
57.0,1.0517654176566011
58.0,1.0127963135156743
59.0,1.0180004987917324
60.0,1.0502253798265615
61.0,1.054602127186134
62.0,1.0803723967431884
63.0,1.0716752461907593
64.0,1.069842698981189
65.0,1.0621981765888484
66.0,1.0900010748912774
67.0,1.1134601642834172
68.0,1.136886621667517
69.0,1.091721083009058
70.0,1.1190040604261393
71.0,1.166538473637649
72.0,1.1395758782821812
73.0,1.1463910514008104
74.0,1.1277658637572168
75.0,1.1387010922032106
76.0,1.1505257280511738
77.0,1.1894856755230199
78.0,1.1942195277469672
79.0,1.1880615723012615
80.0,1.1925192876400257
81.0,1.1986607424336173
82.0,1.2126804318997209
83.0,1.2265699524439637
84.0,1.213490582533331
85.0,1.2598468973885213
86.0,1.2534272100377806
87.0,1.229321437262502
88.0,1.2581976175151197
89.0,1.2618594435521595
90.0,1.2496327880580795
91.0,1.2833232118884095
92.0,1.2865181806044697
93.0,1.3017044182671722
94.0,1.270252096856034
95.0,1.30992314957082
96.0,1.3289049526942864
97.0,1.3146517953880985
98.0,1.3488521724310398
99.0,1.312083008920327
100.0,1.3308359407410622
101.0,1.3265036458610036
102.0,1.268063820398841
103.0,1.1849597510924714
104.0,1.1635064391325403
105.0,1.0980066410539637
106.0,1.0285736051885412
107.0,1.0288804101697888
108.0,1.0050884042008732
109.0,1.0164460416291183
110.0,1.0326247699130395
111.0,1.0224237471274553
112.0,1.0520411476438503
113.0,1.053015091924757
114.0,1.01520039025986
115.0,1.0766793057181219
116.0,1.0825967666291691
117.0,1.062284706552008
118.0,1.0820804512396107
119.0,1.087038160676352
